48,39,34
47,39,35
44,38,34
47,39,34
46,39,33
48,39,35
49,41,36
47,40,35
48,39,32
45,37,33
46,39,34
46,37,31
43,37,32
43,36,33
46,40,34
46,37,32
43,37,33
47,38,34
44,37,34
47,39,34
44,37,34
44,36,33
48,40,35
49,39,34
50,41,35
49,40,36
49,41,37
47,38,33
49,40,34
49,40,35
47,40,36
46,38,34
45,36,33
46,39,34
46,38,35
46,37,32
46,38,34
44,37,34
42,35,32
45,36,32
45,36,32
44,35,31
43,35,31
45,38,34
46,36,34
44,36,33
46,39,34
45,35,32
44,37,33
45,38,33
45,37,32
43,35,33
44,36,31
42,37,34
43,36,33
47,38,33
46,38,32
46,35,31
47,38,35
47,39,35
47,37,32
47,40,35
48,38,33
46,38,35
48,40,34
47,38,32
45,36,33
48,38,33
49,41,36
47,38,33
