228,262,108
229,263,109
230,263,107
226,261,106
231,263,108
234,265,108
236,269,111
234,268,107
233,269,109
238,268,110
223,258,105
230,263,108
244,274,112
242,272,112
246,274,112
245,274,113
246,274,113
242,273,110
238,269,111
233,265,108
232,264,109
233,266,107
236,269,110
234,264,109
227,262,105
230,263,107
227,261,108
224,257,105
221,255,104
222,255,104
219,254,105
222,256,106
224,257,105
227,259,106
223,259,107
219,254,104
221,255,104
220,253,104
215,251,103
217,251,102
211,246,101
210,244,99
209,242,99
207,241,101
200,233,96
200,235,95
200,234,97
0,243,100
206,241,100
206,240,97
208,244,101
212,245,99
219,253,104
219,252,103
219,253,105
216,251,104
220,254,105
218,251,104
217,252,104
217,251,102
220,253,104
219,254,105
220,255,104
223,256,104
219,252,102
223,256,104
222,256,106
227,259,105
221,254,104
223,256,105
222,256,104
231,263,108
227,260,108
228,260,106
231,263,107
229,261,107
233,265,108
243,273,113
