230,136,13
183,161,16
191,165,15
206,176,16
218,185,16
231,193,16
244,201,19
255,205,18
266,206,18
272,201,19
273,199,18
271,202,18
271,207,19
264,204,18
267,204,16
270,206,19
269,203,17
267,205,18
268,207,20
267,205,19
270,207,20
268,203,17
272,206,19
270,204,20
271,203,17
272,202,20
270,202,19
272,203,17
272,202,18
272,203,18
270,205,21
272,205,20
272,205,19
273,203,19
271,201,17
270,199,19
271,200,20
271,201,20
272,198,17
272,196,19
272,196,21
273,196,18
273,198,19
273,201,20
272,200,19
204,176,16
230,195,16
248,205,18
256,210,19
277,212,17
274,212,21
277,211,22
276,206,19
277,210,21
275,204,18
276,205,20
276,207,18
277,202,18
272,187,18
263,170,15
257,162,17
253,156,16
245,149,15
245,146,14
245,149,16
249,155,16
259,162,14
263,169,17
270,182,18
272,184,17
270,182,18
268,179,18
267,173,16
251,210,19
256,213,20
258,213,20
256,215,20
257,212,19
258,214,19
255,212,20
258,213,22
255,211,19
253,211,19
257,214,24
256,215,22
254,212,18
261,216,21
259,215,20
257,212,19
263,215,22
260,214,19
264,217,20
261,213,20
263,217,20
260,215,21
254,212,20
227,199,21
226,199,20
224,194,17
226,197,19
224,196,19
225,197,19
228,197,18
233,202,21
238,205,19
237,203,19
235,203,20
234,202,21
234,202,20
231,199,19
232,200,18
230,200,19
224,195,18
231,202,20
227,198,20
232,201,20
225,197,20
228,197,18
228,199,20
228,199,20
222,193,15
224,195,19
227,198,18
221,194,20
226,198,20
225,197,19
221,192,18
219,193,19
215,191,18
224,196,18
222,193,19
224,196,19
223,195,19
224,197,20
225,196,18
220,194,19
221,193,18
220,191,18
221,195,20
223,195,19
219,193,19
225,197,19
225,196,19
230,200,21
227,199,20
226,196,17
223,194,18
226,198,21
220,193,19
220,192,18
222,195,19
226,197,21
227,198,19
224,195,19
224,196,19
225,196,19
