73,129,11
75,133,13
74,132,12
76,136,14
74,132,13
73,130,11
75,133,12
70,129,12
71,128,12
71,128,14
70,127,14
70,126,12
68,127,13
69,124,11
66,121,10
67,123,12
70,127,11
68,122,10
69,122,12
70,126,14
68,123,11
70,125,12
71,128,14
71,127,12
70,125,11
69,127,13
69,127,12
68,124,10
70,126,12
69,124,12
71,128,14
71,128,13
71,126,12
68,126,11
70,125,11
68,124,13
65,123,12
70,124,14
67,122,13
70,126,13
67,120,11
66,121,12
66,121,11
67,123,12
68,125,13
66,122,10
67,123,12
68,121,12
64,118,10
66,121,11
68,122,12
70,127,14
69,124,11
72,126,13
64,120,10
68,124,12
66,122,12
69,123,11
71,126,12
68,124,14
67,122,11
70,124,12
67,123,12
71,125,13
67,124,13
65,121,10
69,125,13
67,124,11
67,121,11
66,121,12
